year_month,total_sales
2016-09,4.0
2016-10,363.0
2016-11,0.0
2016-12,1.0
2017-01,673.0
2017-02,1815.0
2017-03,2688.0
2017-04,2304.0
2017-05,4051.0
2017-06,3726.0
2017-07,4061.0
2017-08,4968.0
2017-09,4646.0
2017-10,5115.0
2017-11,7245.0
2017-12,7600.0
2018-01,7264.0
2018-02,7252.0
2018-03,8622.0
2018-04,7554.0
2018-05,8716.0
2018-06,6872.0
2018-07,6635.0
2018-08,8769.0
2018-09,99.0
2018-10,0.0
2018-11,0.0
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.0
2019-05,0.0
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.0
2020-01,0.0
2020-02,2.0
2020-03,0.0
2020-04,2.0
